METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.305,0.276,0.207
IF_250,classifier.3,0.285,0.198,0.268
IF_250,features.14,0.418,0.444,0.457
IF_250,features.28,0.449,0.459,0.524
IF_250,features.7,0.43,0.492,0.328
LOF_5,classifier.0,0.574,0.603,0.576
LOF_5,classifier.3,0.527,0.503,0.513
LOF_5,features.14,0.492,0.48,0.541
LOF_5,features.28,0.482,0.486,0.504
LOF_5,features.7,0.486,0.5,0.459
MD,classifier.0,0.69,0.725,0.771
MD,classifier.3,0.709,0.799,0.736
MD,features.14,0.54,0.529,0.532
MD,features.28,0.582,0.552,0.634
MD,features.7,0.57,0.509,0.687
OCSVM_rbf_0.01,classifier.0,0.347,0.262,0.558
OCSVM_rbf_0.01,classifier.3,0.428,0.353,0.461
OCSVM_rbf_0.01,features.14,0.488,0.469,0.588
OCSVM_rbf_0.01,features.28,0.597,0.526,0.785
OCSVM_rbf_0.01,features.7,0.523,0.509,0.57
