METHOD,LAYER,BIM,CW,DeepFool,PGD
IF_100,classifier.0,0.299,0.263,0.21,0.158
IF_100,classifier.3,0.302,0.197,0.199,0.246
IF_100,features.14,0.405,0.426,0.542,0.447
IF_100,features.28,0.413,0.455,0.435,0.441
LOF_20,classifier.0,0.687,0.74,0.606,0.702
LOF_20,classifier.3,0.571,0.572,0.475,0.528
LOF_20,features.14,0.441,0.424,0.589,0.511
LOF_20,features.28,0.466,0.48,0.426,0.423
MD,classifier.0,0.676,0.71,0.785,0.809
MD,classifier.3,0.69,0.792,0.796,0.733
MD,features.14,0.538,0.527,0.473,0.539
MD,features.28,0.603,0.553,0.662,0.728
OCSVM_rbf_0.05,classifier.0,0.254,0.204,0.214,0.21
OCSVM_rbf_0.05,classifier.3,0.297,0.183,0.186,0.268
OCSVM_rbf_0.05,features.14,0.419,0.413,0.608,0.519
OCSVM_rbf_0.05,features.28,0.54,0.5,0.58,0.693
