METHOD,LAYER,BIM,CW,PGD
IF_250,classifier.0,0.694,0.711,0.863
IF_250,classifier.3,0.699,0.802,0.753
IF_250,features.14,0.609,0.568,0.567
IF_250,features.28,0.617,0.559,0.731
IF_250,features.7,0.586,0.511,0.784
LOF_5,classifier.0,0.71,0.775,0.705
LOF_5,classifier.3,0.621,0.663,0.559
LOF_5,features.14,0.56,0.581,0.513
LOF_5,features.28,0.569,0.538,0.655
LOF_5,features.7,0.53,0.509,0.532
MD,classifier.0,0.652,0.681,0.819
MD,classifier.3,0.68,0.785,0.733
MD,features.14,0.547,0.526,0.565
MD,features.28,0.621,0.56,0.809
MD,features.7,0.581,0.51,0.773
OCSVM_rbf_0.01,classifier.0,0.754,0.79,0.856
OCSVM_rbf_0.01,classifier.3,0.709,0.825,0.762
OCSVM_rbf_0.01,features.14,0.598,0.617,0.546
OCSVM_rbf_0.01,features.28,0.504,0.525,0.577
OCSVM_rbf_0.01,features.7,0.563,0.506,0.74
